prior,num_N,num_chose_A,num_chose_B,total
1/3,0,1,47,48
1/3,1,8,69,77
1/3,2,10,111,121
1/3,3,39,405,444
1/3,4,263,424,687
1/3,5,157,51,208
1/3,6,0,0,0
1/2,0,0,0,0
1/2,1,3,29,32
1/2,2,38,267,305
1/2,3,22,138,160
1/2,4,292,79,371
1/2,5,181,20,201
1/2,6,42,9,51
2/3,0,0,0,0
2/3,1,15,71,86
2/3,2,61,210,271
2/3,3,192,146,338
2/3,4,613,69,682
2/3,5,256,12,268
2/3,6,157,13,170
