id,round,treatmentname,value,guess,highgroup,mean_theory,var_theory,alpha,bias,signal,alpha_i,bias_i,signal_i,diff,mse
1.0,38,Baseline,47,40.0,1.0,60.0,100.0,0.1746192,1.5192053,33.92815,0.17006543,-0.35857892,36.33377,-7.0,50.506668
1.0,39,Baseline,34,27.0,0.0,40.0,100.0,0.18409029,-2.109864,26.65277,0.25503683,-4.1342187,28.099033,-7.0,50.506668
1.0,40,Baseline,60,61.0,0.0,40.0,100.0,0.18409029,-2.109864,68.32404,0.25503683,-4.1342187,73.73888,1.0,50.506668
1.0,41,Baseline,60,57.0,1.0,60.0,100.0,0.1746192,1.5192053,54.524704,0.17006543,-0.35857892,56.817314,-3.0,50.506668
1.0,42,Baseline,53,40.0,1.0,60.0,100.0,0.1746192,1.5192053,33.92815,0.17006543,-0.35857892,36.33377,-13.0,50.506668
1.0,43,Baseline,69,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,-4.0,50.506668
1.0,44,Baseline,61,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,-1.0,50.506668
1.0,45,Baseline,48,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-8.0,50.506668
1.0,46,Baseline,78,79.0,1.0,60.0,100.0,0.1746192,1.5192053,81.17907,0.17006543,-0.35857892,83.325424,1.0,50.506668
1.0,47,Baseline,44,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-4.0,50.506668
1.0,48,Baseline,29,25.0,0.0,40.0,100.0,0.18409029,-2.109864,24.201517,0.25503683,-4.1342187,25.414337,-4.0,50.506668
1.0,49,Baseline,65,55.0,0.0,40.0,100.0,0.18409029,-2.109864,60.97029,0.25503683,-4.1342187,65.684784,-10.0,50.506668
1.0,50,Baseline,64,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.17006543,-0.35857892,66.45663,1.0,50.506668
1.0,51,Baseline,33,25.0,0.0,40.0,100.0,0.18409029,-2.109864,24.201517,0.25503683,-4.1342187,25.414337,-8.0,50.506668
1.0,52,Baseline,58,49.0,0.0,40.0,100.0,0.18409029,-2.109864,53.616535,0.25503683,-4.1342187,57.630695,-9.0,50.506668
1.0,53,Baseline,63,54.0,1.0,60.0,100.0,0.1746192,1.5192053,50.89002,0.17006543,-0.35857892,53.20257,-9.0,50.506668
1.0,54,Baseline,31,30.0,0.0,40.0,100.0,0.18409029,-2.109864,30.329645,0.25503683,-4.1342187,32.12608,-1.0,50.506668
1.0,55,Baseline,58,55.0,1.0,60.0,100.0,0.1746192,1.5192053,52.101578,0.17006543,-0.35857892,54.407486,-3.0,50.506668
1.0,56,Baseline,51,41.0,0.0,40.0,100.0,0.18409029,-2.109864,43.81153,0.25503683,-4.1342187,46.89191,-10.0,50.506668
1.0,57,Baseline,72,69.0,1.0,60.0,100.0,0.1746192,1.5192053,69.063446,0.17006543,-0.35857892,71.27628,-3.0,50.506668
1.0,58,Baseline,58,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,2.0,50.506668
1.0,59,Baseline,47,43.0,0.0,40.0,100.0,0.18409029,-2.109864,46.262783,0.25503683,-4.1342187,49.576607,-4.0,50.506668
1.0,60,Baseline,26,20.0,0.0,40.0,100.0,0.18409029,-2.109864,18.073387,0.25503683,-4.1342187,18.702597,-6.0,50.506668
1.0,61,Baseline,50,47.0,0.0,40.0,100.0,0.18409029,-2.109864,51.165283,0.25503683,-4.1342187,54.946,-3.0,50.506668
1.0,62,Baseline,37,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,3.0,50.506668
1.0,63,Baseline,53,63.0,1.0,60.0,100.0,0.1746192,1.5192053,61.794075,0.17006543,-0.35857892,64.0468,10.0,50.506668
1.0,64,Baseline,36,38.0,0.0,40.0,100.0,0.18409029,-2.109864,40.13465,0.25503683,-4.1342187,42.864864,2.0,50.506668
1.0,65,Baseline,33,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,7.0,50.506668
1.0,66,Baseline,32,36.0,0.0,40.0,100.0,0.18409029,-2.109864,37.6834,0.25503683,-4.1342187,40.18017,4.0,50.506668
1.0,67,Baseline,54,64.0,1.0,60.0,100.0,0.1746192,1.5192053,63.00564,0.17006543,-0.35857892,65.25172,10.0,50.506668
1.0,68,Baseline,22,27.0,0.0,40.0,100.0,0.18409029,-2.109864,26.65277,0.25503683,-4.1342187,28.099033,5.0,50.506668
1.0,69,Baseline,69,73.0,1.0,60.0,100.0,0.1746192,1.5192053,73.90969,0.17006543,-0.35857892,76.09594,4.0,50.506668
1.0,70,Baseline,69,62.0,1.0,60.0,100.0,0.1746192,1.5192053,60.58251,0.17006543,-0.35857892,62.841885,-7.0,50.506668
1.0,71,Baseline,59,60.0,1.0,60.0,100.0,0.1746192,1.5192053,58.15939,0.17006543,-0.35857892,60.432056,1.0,50.506668
1.0,72,Baseline,38,38.0,0.0,40.0,100.0,0.18409029,-2.109864,40.13465,0.25503683,-4.1342187,42.864864,0.0,50.506668
1.0,73,Baseline,69,69.0,1.0,60.0,100.0,0.1746192,1.5192053,69.063446,0.17006543,-0.35857892,71.27628,0.0,50.506668
1.0,74,Baseline,45,40.0,0.0,40.0,100.0,0.18409029,-2.109864,42.585903,0.25503683,-4.1342187,45.54956,-5.0,50.506668
1.0,75,Baseline,79,73.0,1.0,60.0,100.0,0.1746192,1.5192053,73.90969,0.17006543,-0.35857892,76.09594,-6.0,50.506668
2.0,1,SignalFirst,59,56.0,1.0,60.0,100.0,0.14315408,0.5003351,54.74779,0.783694,-0.36260033,43.184006,-3.0,555.12
2.0,2,SignalFirst,58,56.0,1.0,60.0,100.0,0.14315408,0.5003351,54.74779,0.783694,-0.36260033,43.184006,-2.0,555.12
2.0,3,SignalFirst,71,77.0,1.0,60.0,100.0,0.14315408,0.5003351,79.25628,0.783694,-0.36260033,140.2687,6.0,555.12
2.0,4,SignalFirst,42,44.0,1.0,60.0,100.0,0.14315408,0.5003351,40.74294,0.783694,-0.36260033,-12.292963,2.0,555.12
2.0,5,SignalFirst,64,56.0,1.0,60.0,100.0,0.14315408,0.5003351,54.74779,0.783694,-0.36260033,43.184006,-8.0,555.12
2.0,6,SignalFirst,58,66.0,0.0,40.0,100.0,0.18763077,-0.8753817,73.08272,0.7835077,23.43614,51.84273,8.0,555.12
2.0,7,SignalFirst,53,17.0,1.0,60.0,100.0,0.14315408,0.5003351,9.232021,0.783694,-0.36260033,-137.11615,-36.0,555.12
2.0,8,SignalFirst,56,67.0,1.0,60.0,100.0,0.14315408,0.5003351,67.58557,0.783694,-0.36260033,94.037895,11.0,555.12
2.0,9,SignalFirst,54,45.0,0.0,40.0,100.0,0.18763077,-0.8753817,47.232403,0.7835077,23.43614,-45.158413,-9.0,555.12
2.0,10,SignalFirst,78,44.0,1.0,60.0,100.0,0.14315408,0.5003351,40.74294,0.783694,-0.36260033,-12.292963,-34.0,555.12
2.0,11,SignalFirst,25,54.0,0.0,40.0,100.0,0.18763077,-0.8753817,58.311108,0.7835077,23.43614,-3.5864937,29.0,555.12
2.0,12,SignalFirst,40,66.0,0.0,40.0,100.0,0.18763077,-0.8753817,73.08272,0.7835077,23.43614,51.84273,26.0,555.12
2.0,13,SignalFirst,41,46.0,0.0,40.0,100.0,0.18763077,-0.8753817,48.46337,0.7835077,23.43614,-40.53931,5.0,555.12
2.0,14,SignalFirst,47,54.0,0.0,40.0,100.0,0.18763077,-0.8753817,58.311108,0.7835077,23.43614,-3.5864937,7.0,555.12
2.0,15,SignalFirst,76,66.0,1.0,60.0,100.0,0.14315408,0.5003351,66.4185,0.783694,-0.36260033,89.41482,-10.0,555.12
2.0,16,SignalFirst,41,16.0,0.0,40.0,100.0,0.18763077,-0.8753817,11.534349,0.7835077,23.43614,-179.11237,-25.0,555.12
2.0,17,SignalFirst,50,64.0,1.0,60.0,100.0,0.14315408,0.5003351,64.08436,0.783694,-0.36260033,80.168655,14.0,555.12
2.0,18,SignalFirst,63,64.0,1.0,60.0,100.0,0.14315408,0.5003351,64.08436,0.783694,-0.36260033,80.168655,1.0,555.12
2.0,19,SignalFirst,58,76.0,1.0,60.0,100.0,0.14315408,0.5003351,78.08921,0.783694,-0.36260033,135.64563,18.0,555.12
2.0,20,SignalFirst,53,76.0,1.0,60.0,100.0,0.14315408,0.5003351,78.08921,0.783694,-0.36260033,135.64563,23.0,555.12
2.0,21,SignalFirst,47,76.0,0.0,40.0,100.0,0.18763077,-0.8753817,85.39239,0.7835077,23.43614,98.03375,29.0,555.12
2.0,22,SignalFirst,44,76.0,0.0,40.0,100.0,0.18763077,-0.8753817,85.39239,0.7835077,23.43614,98.03375,32.0,555.12
2.0,23,SignalFirst,41,75.0,0.0,40.0,100.0,0.18763077,-0.8753817,84.16142,0.7835077,23.43614,93.41465,34.0,555.12
2.0,24,SignalFirst,38,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,27.0,555.12
2.0,25,SignalFirst,41,57.0,0.0,40.0,100.0,0.18763077,-0.8753817,62.004013,0.7835077,23.43614,10.270812,16.0,555.12
2.0,26,SignalFirst,48,75.0,0.0,40.0,100.0,0.18763077,-0.8753817,84.16142,0.7835077,23.43614,93.41465,27.0,555.12
2.0,27,SignalFirst,31,75.0,0.0,40.0,100.0,0.18763077,-0.8753817,84.16142,0.7835077,23.43614,93.41465,44.0,555.12
2.0,28,SignalFirst,61,87.0,1.0,60.0,100.0,0.14315408,0.5003351,90.92699,0.783694,-0.36260033,186.49951,26.0,555.12
2.0,29,SignalFirst,41,57.0,0.0,40.0,100.0,0.18763077,-0.8753817,62.004013,0.7835077,23.43614,10.270812,16.0,555.12
2.0,30,SignalFirst,58,75.0,0.0,40.0,100.0,0.18763077,-0.8753817,84.16142,0.7835077,23.43614,93.41465,17.0,555.12
2.0,31,SignalFirst,59,57.0,1.0,60.0,100.0,0.14315408,0.5003351,55.91486,0.783694,-0.36260033,47.807087,-2.0,555.12
2.0,32,SignalFirst,42,66.0,0.0,40.0,100.0,0.18763077,-0.8753817,73.08272,0.7835077,23.43614,51.84273,24.0,555.12
2.0,33,SignalFirst,36,45.0,0.0,40.0,100.0,0.18763077,-0.8753817,47.232403,0.7835077,23.43614,-45.158413,9.0,555.12
2.0,34,SignalFirst,65,55.0,1.0,60.0,100.0,0.14315408,0.5003351,53.58072,0.783694,-0.36260033,38.560925,-10.0,555.12
2.0,35,SignalFirst,36,45.0,0.0,40.0,100.0,0.18763077,-0.8753817,47.232403,0.7835077,23.43614,-45.158413,9.0,555.12
2.0,36,SignalFirst,44,77.0,0.0,40.0,100.0,0.18763077,-0.8753817,86.62336,0.7835077,23.43614,102.652855,33.0,555.12
2.0,37,SignalFirst,67,7.0,1.0,60.0,100.0,0.14315408,0.5003351,-2.4386883,0.783694,-0.36260033,-183.34695,-60.0,555.12
2.0,38,SignalFirst,75,67.0,1.0,60.0,100.0,0.14315408,0.5003351,67.58557,0.783694,-0.36260033,94.037895,-8.0,555.12
2.0,39,SignalFirst,80,67.0,1.0,60.0,100.0,0.14315408,0.5003351,67.58557,0.783694,-0.36260033,94.037895,-13.0,555.12
2.0,40,SignalFirst,49,54.0,1.0,60.0,100.0,0.14315408,0.5003351,52.413647,0.783694,-0.36260033,33.937847,5.0,555.12
2.0,41,SignalFirst,61,44.0,1.0,60.0,100.0,0.14315408,0.5003351,40.74294,0.783694,-0.36260033,-12.292963,-17.0,555.12
2.0,42,SignalFirst,58,55.0,1.0,60.0,100.0,0.14315408,0.5003351,53.58072,0.783694,-0.36260033,38.560925,-3.0,555.12
2.0,43,SignalFirst,45,54.0,1.0,60.0,100.0,0.14315408,0.5003351,52.413647,0.783694,-0.36260033,33.937847,9.0,555.12
2.0,44,SignalFirst,31,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,34.0,555.12
2.0,45,SignalFirst,23,66.0,0.0,40.0,100.0,0.18763077,-0.8753817,73.08272,0.7835077,23.43614,51.84273,43.0,555.12
2.0,46,SignalFirst,64,45.0,1.0,60.0,100.0,0.14315408,0.5003351,41.910007,0.783694,-0.36260033,-7.669883,-19.0,555.12
2.0,47,SignalFirst,37,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,28.0,555.12
2.0,48,SignalFirst,38,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,27.0,555.12
2.0,49,SignalFirst,25,46.0,0.0,40.0,100.0,0.18763077,-0.8753817,48.46337,0.7835077,23.43614,-40.53931,21.0,555.12
2.0,50,SignalFirst,36,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,29.0,555.12
2.0,51,SignalFirst,62,75.0,1.0,60.0,100.0,0.14315408,0.5003351,76.922134,0.783694,-0.36260033,131.02254,13.0,555.12
2.0,52,SignalFirst,48,76.0,0.0,40.0,100.0,0.18763077,-0.8753817,85.39239,0.7835077,23.43614,98.03375,28.0,555.12
2.0,53,SignalFirst,42,86.0,0.0,40.0,100.0,0.18763077,-0.8753817,97.702065,0.7835077,23.43614,144.22478,44.0,555.12
2.0,54,SignalFirst,73,68.0,1.0,60.0,100.0,0.14315408,0.5003351,68.75264,0.783694,-0.36260033,98.66098,-5.0,555.12
2.0,55,SignalFirst,49,67.0,0.0,40.0,100.0,0.18763077,-0.8753817,74.31368,0.7835077,23.43614,56.461834,18.0,555.12
2.0,56,SignalFirst,60,76.0,1.0,60.0,100.0,0.14315408,0.5003351,78.08921,0.783694,-0.36260033,135.64563,16.0,555.12
2.0,57,SignalFirst,15,77.0,0.0,40.0,100.0,0.18763077,-0.8753817,86.62336,0.7835077,23.43614,102.652855,62.0,555.12
2.0,58,SignalFirst,64,76.0,1.0,60.0,100.0,0.14315408,0.5003351,78.08921,0.783694,-0.36260033,135.64563,12.0,555.12
2.0,59,SignalFirst,50,46.0,1.0,60.0,100.0,0.14315408,0.5003351,43.07708,0.783694,-0.36260033,-3.0468018,-4.0,555.12
2.0,60,SignalFirst,66,76.0,1.0,60.0,100.0,0.14315408,0.5003351,78.08921,0.783694,-0.36260033,135.64563,10.0,555.12
2.0,61,SignalFirst,60,67.0,0.0,40.0,100.0,0.18763077,-0.8753817,74.31368,0.7835077,23.43614,56.461834,7.0,555.12
2.0,62,SignalFirst,79,56.0,1.0,60.0,100.0,0.14315408,0.5003351,54.74779,0.783694,-0.36260033,43.184006,-23.0,555.12
2.0,63,SignalFirst,38,65.0,0.0,40.0,100.0,0.18763077,-0.8753817,71.85175,0.7835077,23.43614,47.22363,27.0,555.12
2.0,64,SignalFirst,39,76.0,0.0,40.0,100.0,0.18763077,-0.8753817,85.39239,0.7835077,23.43614,98.03375,37.0,555.12
2.0,65,SignalFirst,51,46.0,1.0,60.0,100.0,0.14315408,0.5003351,43.07708,0.783694,-0.36260033,-3.0468018,-5.0,555.12
2.0,66,SignalFirst,41,46.0,0.0,40.0,100.0,0.18763077,-0.8753817,48.46337,0.7835077,23.43614,-40.53931,5.0,555.12
2.0,67,SignalFirst,77,75.0,1.0,60.0,100.0,0.14315408,0.5003351,76.922134,0.783694,-0.36260033,131.02254,-2.0,555.12
2.0,68,SignalFirst,55,65.0,1.0,60.0,100.0,0.14315408,0.5003351,65.25143,0.783694,-0.36260033,84.79173,10.0,555.12
2.0,69,SignalFirst,60,65.0,1.0,60.0,100.0,0.14315408,0.5003351,65.25143,0.783694,-0.36260033,84.79173,5.0,555.12
2.0,70,SignalFirst,54,77.0,1.0,60.0,100.0,0.14315408,0.5003351,79.25628,0.783694,-0.36260033,140.2687,23.0,555.12
2.0,71,SignalFirst,74,46.0,1.0,60.0,100.0,0.14315408,0.5003351,43.07708,0.783694,-0.36260033,-3.0468018,-28.0,555.12
2.0,72,SignalFirst,43,97.0,0.0,40.0,100.0,0.18763077,-0.8753817,111.24271,0.7835077,23.43614,195.0349,54.0,555.12
2.0,73,SignalFirst,60,75.0,1.0,60.0,100.0,0.14315408,0.5003351,76.922134,0.783694,-0.36260033,131.02254,15.0,555.12
2.0,74,SignalFirst,28,45.0,0.0,40.0,100.0,0.18763077,-0.8753817,47.232403,0.7835077,23.43614,-45.158413,17.0,555.12
2.0,75,SignalFirst,60,64.0,1.0,60.0,100.0,0.14315408,0.5003351,64.08436,0.783694,-0.36260033,80.168655,4.0,555.12
3.0,1,Baseline,56,23.0,0.0,40.0,100.0,0.18409029,-2.109864,21.750265,1.1634729,23.102654,285.31683,-33.0,605.52
3.0,2,Baseline,52,40.0,1.0,60.0,100.0,0.1746192,1.5192053,33.92815,0.9068323,-0.4615898,-149.71222,-12.0,605.52
3.0,3,Baseline,47,42.0,1.0,60.0,100.0,0.1746192,1.5192053,36.351273,0.9068323,-0.4615898,-128.24556,-5.0,605.52
3.0,4,Baseline,66,44.0,1.0,60.0,100.0,0.1746192,1.5192053,38.774395,0.9068323,-0.4615898,-106.7789,-22.0,605.52
3.0,5,Baseline,56,55.0,1.0,60.0,100.0,0.1746192,1.5192053,52.101578,0.9068323,-0.4615898,11.287742,-1.0,605.52
3.0,6,Baseline,71,54.0,1.0,60.0,100.0,0.1746192,1.5192053,50.89002,0.9068323,-0.4615898,0.55441034,-17.0,605.52
